Chrono;Fourn.;Article;UC;Prix brut;Validit
63;4010BIOIMP;A0879;U;Depuis le 23/06/2021, 1,4000 EUR/U;E
67;4010BONBON;A0905;P;Depuis le 24/06/2021, 0,1600 EUR/P;E
42;4010BOU;A0012;P;Depuis le 01/10/2021, 0,0873 EUR/P;E
42;4010BOU;A0013;P;Depuis le 11/06/2021, 0,0618 EUR/P;E
42;4010BOU;A0014;P;Depuis le 01/10/2021, 0,1030 EUR/P;E
42;4010BOU;A0015;P;Depuis le 01/10/2021, 0,1214 EUR/P;E
42;4010BOU;A0016;P;Depuis le 21/06/2021, 0,0839 EUR/P;E
42;4010BOU;A0017;P;Depuis le 11/06/2021, 0,1130 EUR/P;E
42;4010BOU;A0018;P;Depuis le 01/10/2021, 0,1157 EUR/P;E
42;4010BOU;A0019;P;Depuis le 01/10/2021, 0,1532 EUR/P;E
42;4010BOU;A0020;P;Depuis le 01/10/2021, 0,2154 EUR/P;E
42;4010BOU;A0021;P;Depuis le 01/10/2021, 0,3298 EUR/P;E
42;4010BOU;A0640;P;Depuis le 22/11/2021, 0,0585 EUR/P;E
42;4010BOU;A0641;P;Depuis le 01/01/2022, 0,1303 EUR/P;E
42;4010BOU;A0642;Kg;Depuis le 11/06/2021, 7,9000 EUR/Kg;E
42;4010BOU;A0643;Kg;Depuis le 11/06/2021, 7,9000 EUR/Kg;E
42;4010BOU;A0644;Kg;Depuis le 11/06/2021, 9,8700 EUR/Kg;E
42;4010BOU;A0880;P;Depuis le 01/10/2021, 0,2066 EUR/P;E
42;4010BOU;A2488;Kg;Depuis le 18/01/2022, 9,8700 EUR/Kg;E
42;4010BOU;A2489;P;Depuis le 19/01/2022, 0,1992 EUR/P;E
42;4010BOU;A2490;P;Depuis le 19/01/2022, 0,2496 EUR/P;E
38;4010BOUL;A0010;P;Depuis le 01/01/2022, 3,0270 EUR/P;E
38;4010BOUL;A2432;P;Depuis le 05/01/2022, 2,9100 EUR/P;E
38;4010BOUL;A2329;P;Depuis le 01/01/2022, 0,7350 EUR/P;E
38;4010BOUL;A2214;P;Depuis le 01/01/2022, 0,0780 EUR/P;E
38;4010BOUL;A0584;P;Depuis le 01/01/2022, 0,1400 EUR/P;E
38;4010BOUL;A0585;P;Depuis le 01/01/2022, 0,2100 EUR/P;E
38;4010BOUL;A0587;P;Depuis le 01/01/2022, 0,2500 EUR/P;E
38;4010BOUL;A0588;Kg;Depuis le 01/01/2022, 3,0270 EUR/Kg;E
